name,authors,genre,subcategory,note,rack,shelf,comic_book
Inne Światy,Various Artists,Fantasy,Zbiór opowiadań,,2,1,FALSE
Ostatni Smok,Charles Edward Pogue,Fantasy,,,2,1,FALSE
Miasto w morzu i inne,Edgar Allan Poe,Poezja,,,2,1,FALSE
Zgroza w dunwich i inne,H. P. Lovecraft,Horror,Zbiór opowiadań,,2,1,FALSE
Dai-San,Eric Van Lustbader,Fantasy,,,1,3,FALSE
Opalowy Księżyc,Eric Van Lustbader,Fantasy,,,1,3,FALSE
Władcy Siódmego Roju,Dave Wolvertron,SF,Cykl,Złota królowa - z duplikatem,1,1,FALSE
Królestwo Słońca I,Brian Damato,Fantastyka,Cykl,Królestwo Słońca,2,1,FALSE
Królestwo Słońca II,Brian Damato,Fantastyka,Cykl,Królestwo Słońca,2,1,FALSE
Ruiny Gorlanu,John Flanagan,Fantasy,Cykl,Zwiadowcy,2,1,FALSE
Płonący Most,John Flanagan,Fantasy,Cykl,Zwiadowcy,2,1,FALSE
Ziemia Skuta Lodem,John Flanagan,Fantasy,Cykl,Zwiadowcy,2,1,FALSE
Bitwa o Skandię,John Flanagan,Fantasy,Cykl,Zwiadowcy,2,1,FALSE
Czarnoksiężnik z Północy,John Flanagan,Fantasy,Cykl,Zwiadowcy,2,1,FALSE
Córka Owczarza,Elizabeth Moon,Fantasy,Cykl,Czyny Paksenarrion,1,7,FALSE
Magia Krynny,"Margaret Weis, Tracy Hickman",Fantasy,Cykl,Dragonlance - Opowieści,1,7,FALSE
Kagonesti,Douglas Niles,Fantasy,Cykl,Dragonlance - Zaginione Opowieści,1,7,FALSE
Nihal Z krainy Wiatru,Licia Trosi,Fantasy,Cykl,Kroniki Świata Wynurzonego,2,1,FALSE
Misja Sennara,Licia Trosi,Fantasy,Cykl,Kroniki Świata Wynurzonego,2,1,FALSE
Talizman Mocy,Licia Trosi,Fantasy,Cykl,Kroniki Świata Wynurzonego,2,1,FALSE
Twarz w otchłani,Abraham Merritt,Fantasy,,,1,7,FALSE
Na równowarzni,Desmond Bagley,Sensacja,,,1,6,FALSE
Złoty Wiek,John Varley ,SF,,,2,1,FALSE
Upadek Władców Niebios,John Brosnan,SF,,,2,1,FALSE
Zamknięty świat,James Gunn,SF,,,2,1,FALSE
Taktyka Błędy,Gordon R. Dickson,SF,,,1,4,FALSE
Wojna o Dąb,Emma Bull,Fantastyka,,,2,1,FALSE
Warswy Wszechświata,Terry Pratchett,Fantasy,,,2,1,FALSE
Kapelusz Pełen Nieba,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Zimistrz,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Zadziwiający Maurycy i jego uczone szczury,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Muzyka Duszy,Terry Pratchett,Fantasy,,Świat Dysku - z duplikatem,2,1,FALSE
Złodziej Czasu,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Wiedźmikołaj,Terry Pratchett,Fantasy,,Świat Dysku - z duplikatem,2,1,FALSE
Łups!,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Kosiarz,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Mort,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Wolni Ciutludzie,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Humor i Mądrość świata dysku,Terry Pratchett,Fantasy,,Świat Dysku,2,1,FALSE
Dziedzictwo Hasturów,Marion Zimmer Bradley,Fantasy,Cykl,Darkover,2,1,FALSE
Wyganie Sharry,Marion Zimmer Bradley,Fantasy,Cykl,Darkover,2,1,FALSE
Sokolniczka,Marion Zimmer Bradley,Fantasy,Cykl,Darkover,2,1,FALSE
Harfista na wietrze,Patricia A. McKillip,Fantasy,Cykl,Mistrz Zagadek,2,2,FALSE
Dziedziczka morza i ognia,Patricia A. McKillip,Fantasy,Cykl,Mistrz Zagadek,2,2,FALSE
Mistrz Zagadek z Hed,Patricia A. McKillip,Fantasy,Cykl,Mistrz Zagadek,2,2,FALSE
Abhhorsen,Garth Nix,Fantasy,Cykl,Saga Sabriel,2,2,FALSE
Lirael,Garth Nix,Fantasy,Cykl,Saga Sabriel,2,2,FALSE
Sabriel,Garth Nix,Fantasy,Cykl,Saga Sabriel,2,2,FALSE
Czaropis I,Blake Charlton,Fantasy,Cykl,Czaropis,2,2,FALSE
Czaropis II,Blake Charlton,Fantasy,Cykl,Czaropis,2,2,FALSE
Jad Lorda Foula,Stephen R. Donaldson,Fantasy,Cykl,Kraina,2,2,FALSE
Wojna Złoziemnego Kamienia,Stephen R. Donaldson,Fantasy,Cykl,Kraina - z duplikatem,2,2,FALSE
"Mroczny, Zachłanny bóg powstaje",Stephen R. Donaldson,SF,Cykl,Skok w potęgę,2,2,FALSE
W perseuszu,Siergiej Sniegow,SF,Cykl,Ludzie Jak Bogowie,1,6,FALSE
Jjan,Eric Van Lustbader,Sensacja,,,1,3,FALSE
Ninja,Eric Van Lustbader,Sensacja,,,1,3,FALSE
Miecz liktora,Gene Wolfe,SF,,,1,5,FALSE
Wejść miedzy lwy,Ken Follett,Wojenny,,,1,3,FALSE
61 godzin,Lee Child,Sensacja,Cykl,Jack Reacher,2,2,FALSE
Ostatnia sprawa,Lee Child,Sensacja,Cykl,Jack Reacher,2,2,FALSE
Nocna Runda,Lee Child,Sensacja,Cykl,Jack Reacher,2,2,FALSE
Zmuś Mnie,Lee Child,Sensacja,Cykl,Jack Reacher,2,2,FALSE
Czas Przeszły,Lee Child,Sensacja,Cykl,Jack Reacher,2,2,FALSE
Tik-Tak,Dean Koontz,Horror,,,2,2,FALSE
Ziarno Demona,Dean Koontz,Horror,,,2,2,FALSE
W okowach lodu,Dean Koontz,Horror,,,2,2,FALSE
The Door to december,Dean Koontz,Horror,,Angielskie,2,2,FALSE
Przełęcz śmierci,Dean Koontz,Horror,,,2,2,FALSE
Klucz do północy,Dean Koontz,Horror,,,2,2,FALSE
Odd Thomas,Dean Koontz,Horror,,Z duplikatem,2,2,FALSE
Intensywność,Dean Koontz,Horror,,,2,2,FALSE
Zęby Tygrysa,Tom Clancy,Sensacja,,,2,4,FALSE
Kolekcjoner,Tom Clancy,Sensacja,,,2,4,FALSE
Czerwony Smok,Thomas Harris,Horror,,,2,2,FALSE
Poniedziałek zaczyna się w sobotę,"Arkadij Natanowicz Strugacki, Borys Strugacki",SF,,Z duplikatem,2,2,FALSE
Imperatorzy Iluzji,Siergiej Łukianienko,SF,Cykl,Linia Marzeń,2,2,FALSE
Spektrum [każdy myśliwy pragnie wiedzieć],Siergiej Łukianienko,SF,,,2,2,FALSE
Nocny Patrol,Siergiej Łukianienko,Urban Fantasy,Cykl,Patrol,2,2,FALSE
Dzienny Patrol,Siergiej Łukianienko,Urban Fantasy,Cykl,Patrol,2,2,FALSE
Metro 2034,Dmitry Glukhovsky,SF/Postapo,Cykl,Metro,2,2,FALSE
Witajcie w rosji,Dmitry Glukhovsky,Zbiór opowiadań,,,2,2,FALSE
Cytadela w andach,Desmond Bagley,Sensacja,,,1,6,FALSE
Inne pieśni,Jacek Dukaj,SF,,,2,3,FALSE
Xavras Wyżryn,Jacek Dukaj,SF,,,2,3,FALSE
Perfekcyjna niedoskonałość,Jacek Dukaj,SF,,,2,3,FALSE
Metamorfozy,Witold Jabłoński,Fantasy/Horror,Cykl,Gwiazda Wenus Gwiazda Lucyfer,2,3,FALSE
Uczeń czarnoksiężnika,Witold Jabłoński,Fantasy/Horror,Cykl,Gwiazda Wenus Gwiazda Lucyfer,2,3,FALSE
Anna Kańtoch,Diabeł na wieży,Fantasy,,,2,3,FALSE
Opowieści Okrutnr,Paweł Siedlar,Zbiór opowiadań,,,2,3,FALSE
Pan Lodowedgo Ogrodu I,Jarosław Grzędowicz,Fantasy,Cykl,Pan Lodowedgo Ogrodu,2,3,FALSE
Pan Lodowedgo Ogrodu II,Jarosław Grzędowicz,Fantasy,Cykl,Pan Lodowedgo Ogrodu,2,3,FALSE
Pan Lodowedgo Ogrodu III,Jarosław Grzędowicz,Fantasy,Cykl,Pan Lodowedgo Ogrodu,2,3,FALSE
Popiół i Kurz,Jarosław Grzędowicz,Zbiór opowiadań,,,2,3,FALSE
Prorok,Krzysztof Piskorski,Fantasy,Cykl,Opowieść Piasków - z duplikatem,2,3,FALSE
Najemnik,Krzysztof Piskorski,Fantasy,Cykl,Opowieść Piasków - z duplikatem,2,3,FALSE
Wygnaniec,Krzysztof Piskorski,Fantasy,Cykl,Opowieść Piasków - z duplikatem,2,3,FALSE
Kolory Sztandarów,Tomasz Kołodziejczak,SF,Cykl,Dominium Solarne,2,3,FALSE
Schwytany w światła,Tomasz Kołodziejczak,SF,Cykl,Dominium Solarne,2,3,FALSE
Głowobójcy,Tomasz Kołodziejczak,Gra książka,Cykl,Dominium Solarne,2,3,FALSE
Tak Jest Dobrze,Szczepan Twardoch,Zbiór opowiadań,,,2,3,FALSE
Krzyżacki Poker I,Dariusz Spychalski,Powieść historyczna,Cykl,Krzyżacki Poker,2,3,FALSE
O włos od piwa,Eugeniusz Dębski,Fantasy,,,2,3,FALSE
Sherwood,Tomasz Pacyński,Fantasy,,,2,3,FALSE
Szatański Interes,Tomasz Pacyński,Fantasy,,,2,3,FALSE
Smokonójca,Tomasz Pacyński,Fantasy,,,2,3,FALSE
Delirium W Tharsys,Wiktor Żwikiewicz,SF,,,2,5,FALSE
Bear Island,Alistair MacLean,Sensacja,,angielskie,5,6,FALSE
Manitou,Graham Masterton,Horror,,,2,5,FALSE
Kardynał z Kremla,Tom Clancy,Sensacja,,,2,4,FALSE
Labirynt Odbić,Siergiej Łukianienko,SF,,,2,2,FALSE
Oblicze Czarnej Palmiry,Władimir Wasiliew,SF,,,2,2,FALSE
Na wodach Błękitu,Gene Wolfe,SF,Cykl,księga krótkiego słońca,1,5,FALSE
Meduza,Jack L. Chalker,SF,Cykl,Czterech Władców Rombu,1,4,FALSE
Cerber,Jack L. Chalker,SF,Cykl,Czterech Władców Rombu,1,4,FALSE
Charon,Jack L. Chalker,SF,Cykl,Czterech Władców Rombu,1,4,FALSE
Szatański wirus,Alistair MacLean,Sensacja,,,5,6,FALSE
Wyspa Niedźwiedzi,Alistair MacLean,Sensacja,,,5,6,FALSE
Stacja Arktyczna Zebra,Alistair MacLean,Sensacja,,,5,6,FALSE
Santoryn,Alistair MacLean,Sensacja,,,5,6,FALSE
Dark Crusader,Alistair MacLean,Sensacja,,,5,6,FALSE
Rzeka śmierci,Alistair MacLean,Sensacja,,,5,6,FALSE
San Andreas,Alistair MacLean,Sensacja,,,5,6,FALSE
H.M.S. Ulisses,Alistair MacLean,Sensacja,,,5,6,FALSE
Złote Wrota,Alistair MacLean,Sensacja,,,5,6,FALSE
Na południe od jawy,Alistair MacLean,Sensacja,,,5,6,FALSE
Śluza,Alistair MacLean,Sensacja,,,5,6,FALSE
Huragan z navarony,Alistair MacLean,Sensacja,,,5,6,FALSE
ostatnia granica,Alistair MacLean,Sensacja,,,5,6,FALSE
Tęcza Sześć I,Tom Clancy,Sensacja,,,2,4,FALSE
Tęcza Sześć I,Tom Clancy,Sensacja,,,2,4,FALSE
Bez skrupułów,Tom Clancy,Sensacja,,,2,4,FALSE
Niedźwiedź i smok I,Tom Clancy,Sensacja,,,2,4,FALSE
Niedźwiedź i smok II,Tom Clancy,Sensacja,,,2,4,FALSE
Racja Stanu,Tom Clancy,Sensacja,,,2,4,FALSE
Centrum,Tom Clancy,Sensacja,,,2,4,FALSE
Polowanie na Czerwony Październik,Tom Clancy,Sensacja,,,2,4,FALSE
Dekret I,Tom Clancy,Sensacja,,,2,4,FALSE
Dekret II,Tom Clancy,Sensacja,,,2,4,FALSE
Dekret III,Tom Clancy,Sensacja,,,2,4,FALSE
Zwarcie,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Rubież,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Krew i Honor,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Zakładniczka,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Z rozkazu prezydenta,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Pod Ostrzałem,W.E.B. Griffin,Wojenny,,,2,4,FALSE
Szpiedzy i żołnierze,W.E.B. Griffin,Wojenny,Cykl,Ostatni Bohaterowie,2,4,FALSE
Ludzie z mroku,W.E.B. Griffin,Wojenny,Cykl,Ostatni Bohaterowie,2,4,FALSE
Dwa Fronty,W.E.B. Griffin,Wojenny,Cykl,Ostatni Bohaterowie,2,4,FALSE
Na dno Nocy,Clive Cussler,Sensacja,,,2,4,FALSE
Podwodny Zabójca,Clive Cussler,Sensacja,,,2,4,FALSE
Ostatnia Misja Phoenix,Michael Dimercurio,Sensacja,,,2,4,FALSE
Głębokość Alarmowa,Michael Dimercurio,Sensacja,,,2,4,FALSE
Ogień Krzyżowy,David Hagberg,Sensacja,,,2,4,FALSE
Oblężenie,Steven Coonts,Sensacja,,,2,4,FALSE
Syberia,Steven Coonts,Sensacja,,,2,4,FALSE
A-6 Intruder,Steven Coonts,Sensacja,,,2,4,FALSE
Rekin,"Robert Ballard, Tony Chiu",Sensacja,,,2,4,FALSE
Więzy Krwi,A.J. Quinnell,Sensacja,,,2,4,FALSE
Znienacka,Larry Bond,Sensacja,,,2,4,FALSE
Cobra,Timothy Rizzi,Sensacja,,,2,4,FALSE
Rosjanin,Andy McNab,Wojenny,,,2,4,FALSE
Medusa,Sven Hassel,Sensacja,,,2,4,FALSE
Koła Terroru,Hammond Innes,Sensacja,,,2,4,FALSE
Władcy Ciemności,Frank E. Peretti,Sensacja,,,2,4,FALSE
Agent Apokalipsy,Bryan Forbes,Sensacja,,,2,4,FALSE
Smark Ryzyka,James Jones,Sensacja,,,2,4,FALSE
Konkwista,Valdemar Baldhead,Sensacja,,,2,4,FALSE
